#S&P 1500 index as of 2015-04-17
A
AA
AAN
AAON
AAP
AAPL
AAT
AAWW
ABAX
ABBV
ABC
ABM
ABMD
ABT
ACAT
ACC
ACE
ACET
ACI
ACIW
ACM
ACN
ACOR
ACT
ACXM
ADBE
ADC
ADI
ADM
ADP
ADS
ADSK
ADT
ADTN
ADVS
AEC
AEE
AEGN
AEIS
AEO
AEP
AES
AET
AF
AFAM
AFFX
AFG
AFL
AGCO
AGN
AGYS
AHL
AHS
AIG
AIN
AIR
AIRM
AIT
AIV
AIZ
AJG
AKAM
AKR
AKRX
AKS
ALB
ALE
ALEX
ALGN
ALGT
ALK
ALL
ALLE
ALOG
ALTR
ALXN
AMAT
AMCX
AMD
AME
AMED
AMG
AMGN
AMP
AMRI
AMSF
AMSG
AMT
AMWD
AMZN
AN
ANDE
ANF
ANIK
ANN
ANSS
AOI
AOL
AON
AOS
APA
APC
APD
APEI
APH
APOG
APOL
ARCB
ARE
AREX
ARG
ARO
ARRS
ARW
ASBC
ASEI
ASGN
ASH
ASNA
ASTE
ATI
ATK
ATML
ATNI
ATO
ATR
ATU
ATW
AVA
AVAV
AVB
AVD
AVGO
AVP
AVT
AVY
AWR
AXE
AXP
AYI
AZO
AZZ
B
BA
BABY
BAC
BANR
BAS
BAX
BBBY
BBCN
BBG
BBOX
BBT
BBY
BC
BCC
BCO
BCOR
BCPC
BCR
BDC
BDX
BEAV
BELFB
BEN
BF/B
BFS
BGC
BGFV
BGG
BGS
BH
BHE
BHI
BID
BIG
BIIB
BIO
BJRI
BK
BKE
BKH
BKMU
BKS
BLK
BLKB
BLL
BMI
BMR
BMS
BMY
BNNY
BOBE
BOFI
BOH
BPFH
BR
BRC
BRCM
BRK/B
BRKL
BRKS
BRLI
BRO
BRS
BSX
BTU
BWA
BWLD
BWS
BXP
BXS
BYD
BYI
C
CA
CAB
CACI
CAG
CAH
CAKE
CALM
CAM
CAMP
CAS
CASY
CAT
CATM
CATO
CATY
CB
CBB
CBEY
CBG
CBK
CBM
CBOE
CBR
CBRL
CBS
CBSH
CBST
CBT
CBU
CCC
CCE
CCI
CCL
CCMP
CCRN
CDI
CDNS
CDR
CEB
CECO
CELG
CENTA
CENX
CERN
CEVA
CF
CFN
CFNL
CFR
CGNX
CHCO
CHD
CHE
CHK
CHRW
CHS
CHSP
CI
CIEN
CINF
CIR
CJES
CKH
CKP
CL
CLC
CLD
CLF
CLGX
CLH
CLI
CLMS
CLW
CLX
CMA
CMC
CMCSA
CME
CMG
CMI
CMN
CMO
CMP
CMS
CMTL
CNC
CNK
CNL
CNMD
CNP
CNQR
CNVR
CNW
CNX
COF
COG
COH
COHR
COHU
COL
COLB
COO
COP
COR
COST
COV
CPB
CPLA
CPRT
CPSI
CPT
CPWR
CR
CREE
CRI
CRK
CRL
CRM
CROX
CRR
CRS
CRUS
CRVL
CRY
CRZO
CSC
CSCO
CSGS
CSH
CSL
CST
CSX
CTAS
CTL
CTRE
CTS
CTSH
CTXS
CUB
CUZ
CVBF
CVC
CVD
CVEO
CVG
CVGW
CVLT
CVS
CVX
CW
CXW
CY
CYBX
CYH
CYN
CYNO
CYT
D
DAKT
DAL
DAR
DBD
DCI
DCOM
DD
DDD
DE
DECK
DEL
DF
DFS
DG
DGII
DGX
DHI
DHR
DHX
DIN
DIOD
DIS
DISCA
DKS
DLPH
DLTR
DLX
DMND
DNB
DNOW
DNR
DO
DORM
DOV
DOW
DPS
DPZ
DRC
DRE
DRH
DRI
DRIV
DRQ
DSPG
DST
DTE
DTSI
DTV
DUK
DV
DVA
DVN
DW
DWA
DXPE
DY
EA
