#S&P 600 index as of 2015-04-21
AAON
AAT
AAWW
ABAX
ABM
ABMD
ACAT
ACET
ACI
ACOR
ADC
ADTN
AEC
AEGN
AEIS
AEL
AF
AFAM
AFFX
AGYS
AHS
AIN
AIR
AIRM
AIT
AKR
AKS
ALE
ALGT
ALOG
AMED
AMRI
AMSF
AMSG
AMWD
ANDE
ANGO
ANIK
ANIP
APEI
APOG
ARCB
AREX
ARO
ASEI
ASGN
ASTE
ATNI
ATU
AVA
AVAV
AVD
AWR
AXE
AZZ
B
BABY
BANR
BAS
BBCN
BBG
BBOX
BCC
BCEI
BCO
BCOR
BCPC
BELFB
BFS
BGC
BGFV
BGG
BGS
BH
BHE
BJRI
BKE
BKMU
BKS
BLKB
BMI
BOBE
BOFI
BPFH
BRC
BRKL
BRKS
BRLI
BRS
BWLD
BWS
BYD
CACI
CALM
CAMP
CAS
CASY
CATM
CATO
CBB
CBK
CBM
CBR
CBRL
CBU
CCC
CCMP
CCRN
CDI
CDR
CECO
CENTA
CENX
CEVA
CFNL
CGI
CHCO
CHE
CHSP
CIR
CJES
CKH
CKP
CLD
CLMS
CLW
CMN
CMO
CMTL
CNMD
CNSL
COHR
COHU
COLB
COR
CPF
CPLA
CPSI
CRK
CROX
CRR
CRUS
CRVL
CRY
CRZO
CSGS
CSH
CTRE
CTS
CUB
CUZ
CVBF
CVGW
CW
CYBX
CYNO
DAKT
DAR
DCOM
DEL
DEPO
DGII
DHX
DIN
DIOD
DMND
DORM
DRH
DSPG
DTSI
DW
DXPE
DY
EBIX
EBS
ECOL
ECPG
EDR
EE
EFII
EGHT
EGL
EGOV
EGP
EHTH
EIG
ELY
EME
ENS
ENSG
ENTR
ENVA
EPAY
EPIQ
EPR
ERA
ESE
ESIO
ETH
EVR
EXAM
EXAR
EXH
EXLS
EXPO
EZPW
FARO
FBP
FCF
FCFS
FELE
FF
FFBC
FFIN
FINL
FIX
FMBI
FN
FNB
FNGN
FOR
FORR
FRAN
FRED
FSP
FSS
FTD
FTK
FUL
FWRD
FXCM
GB
GBCI
GCO
GDOT
GEO
GEOS
GFF
GHL
GIFI
GIII
GK
GLF
GLT
GNCMA
GOV
GPI
GPRE
GSM
GTY
GY
HAE
HAFC
HAYN
HCI
HCSG
HELE
HF
HGR
HHS
HI
HIBB
HLIT
HMN
HOMB
HOS
HPY
HR
HSII
HSTM
HTLD
HUBG
HVT
HW
HWAY
HWKN
HZO
IART
IBKR
ICON
ICUI
IGTE
IILG
IIVI
INDB
ININ
INN
IO
IPAR
IPCC
IPCM
IPHS
IPI
IPXL
IRBT
IRC
IRDM
ITG
IVC
JACK
JBT
JCOM
JJSF
KALU
KAMN
KELYA
KFY
KIRK
KLIC
KND
KNX
KOP
KOPN
KRA
KRG
KS
KWR
LAD
LCI
LDL
LDR
LFUS
LG
LGND
LHCG
LL
LMNX
LMOS
LNCE
LNN
LOGM
LPSN
LQDT
LTC
LTXB
LXP
LXU
LZB
MANH
MANT
MASI
MATW
MATX
MBFI
MCF
MCRI
MCRL
MCS
MDAS
MDCO
MDSO
MED
MEI
MGLN
MHO
MIG
MINI
MKSI
MKTX
MLI
MMS
MMSI
MNRO
MNTA
MOG.A
MOH
MOV
MPW
MPWR
MRCY
MRH
MSCC
MSTR
MTH
MTRN
MTRX
MTSC
MW
MWW
MYE
NANO
NAVG
NBTB
NCI
NEOG
NEWP
NILE
NJR
NOG
NP
NPBC
NPK
NPO
NR
NSIT
NSP
NTCT
NTGR
NTRI
NUVA
NWBI
NWE
NWN
NX
OFG
OMCL
OMG
ONB
ORIT
ORN
OSIS
OUTR
OXM
OZRK
PBH
PBY
PDCE
PEI
PERY
PES
PETS
PFS
PGN
PGTI
PJC
PKE
PKY
PLCE
PLKI
PLXS
PMC
PNFP
PNK
PNY
POOL
POWI
POWL
PPS
PQ
PRA
PRAA
PRFT
PRGS
PRSC
PRXL
PSB
PSEM
PVA
PVTB
PZZA
QLGC
QNST
QSII
RECN
REXX
RGEN
RGR
RGS
RLI
ROCK
ROG
ROIC
RRGB
RRTS
RSTI
RT
RTEC
RTI
RUTH
RYAM
RYL
SAFM
SAFT
SAH
SAIA
SANM
SBRA
SBSI
SCHL
SCL
SCOR
SCSC
SCSS
SEM
SENEA
SFNC
SFY
SGMS
SGNT
SGY
SHLM
SHOO
SIGI
SJI
SKX
SKYW
SLCA
SMCI
SMP
SMRT
SNCR
SNX
SONC
SPF
SPOK
SPPI
SPTN
SRDX
SSD
SSI
SSP
SSS
STBA
STC
STL
STMP
STRA
SUP
SUSQ
SWC
SWM
SWX
SXC
SXI
SYKE
SYNA
SYRG
SZMK
TASR
TBI
TCBI
TESO
TG
TILE
TMP
TNC
TNGO
TRAK
TRST
TSRA
TTC
TTEC
TTEK
TTI
TTMI
TTWO
TUES
TWI
TXRH
TYPE
UBA
UBSI
UCBI
UEIC
UFCS
UFI
UFPI
UHT
UIHC
UIL
UMBF
UNF
USTR
UTEK
UTI
UTIW
UVE
UVV
VAC
VASC
VDSI
VECO
VICR
VIVO
VOXX
VRTS
VRTU
VRTV
VSAT
VSI
VVI
WABC
WAGE
WDFC
WGO
WIBC
WIRE
WPP
WRLD
WST
WTFC
WTS
WWW
XOXO
XXIA
ZEP
ZEUS
ZQK
ZUMZ
