#Dow Jones Industrial Average components as of 2015-03-18
MMM
AXP
AAPL
BA
CAT
CVX
CSCO
KO
DD
XOM
GE
GS
HD
INTC
IBM
JNJ
JPM
MCD
MRK
MSFK
NKE
PFE
PG
TRV
UNH
UTX
VZ
V
WMT
DIS
