#NASDAQ 100 index as of 2015-04-17
FOXA
FOX
ATVI
ADBE
AKAM
ALXN
ALTR
AMZN
AAL
AMGN
ADI
AAPL
AMAT
ADSK
ADP
AVGO
BIDU
BBBY
BIIB
BRCM
CHRW
CA
CTRX
CELG
CERN
CHTR
CHKP
CSCO
CTXS
CTSH
CMCSK
CMCSA
COST
DTV
DISCA
DISCK
DISH
DLTR
EBAY
EA
EXPD
ESRX
FB
FAST
FISV
GRMN
GILD
GOOGL
GOOG
HSIC
ILMN
INTC
INTU
ISRG
KLAC
GMCR
KRFT
LRCX
LBTYA
LBTYK
QVCA
LMCK
LMCA
LVNTA
LLTC
MAR
MAT
MU
MSFT
MDLZ
MNST
MYL
NTAP
NFLX
NVDA
NXPI
ORLY
PCAR
PAYX
QCOM
REGN
ROST
SNDK
SBAC
STX
SIAL
SIRI
SPLS
SBUX
SRCL
SYMC
TSLA
TXN
PCLN
TSCO
TRIP
VRSK
VRTX
VIAB
VIP
VOD
WBA
WDC
WFM
WYNN
XLNX
YHOO
