#S&P 400 index as of 2015-04-17
DDD
AAN
ACIW
AYI
ACXM
ADTN
AAP
AMD
ADVS
ACM
ARO
AMG
AGCO
ALK
ALB
ALEX
ARE
Y
ADS
LNT
ATK
MDRX
ANR
AMCX
ACC
AEO
AFG
ANN
ANSS
AOL
APOL
AINV
ATR
WTR
ACI
ARW
AJG
ASNA
ASH
AHL
ASBC
AF
ATML
ATO
ATW
AVT
BEAV
BYI
BXS
BOH
BIG
BBG
BIO
BMR
BKH
BOBE
BRE
EAT
BR
BRO
CAB
CBT
CDNS
CPT
CRR
CSL
CRS
CRI
CATY
CBOE
CRL
CAKE
CHS
CHD
CIEN
XEC
CNK
CYN
CLC
CLH
CNL
CBSH
CMC
CYH
CVLT
CMP
CPWR
CNQR
CVG
COO
CNW
CPRT
CLGX
CEB
OFC
CXW
CVD
CR
CREE
CST
CBST
CFR
CY
CYT
DF
DST
DECK
DLX
DV
DKS
DBD
DPZ
UFS
DCI
RRD
DWA
DRC
DRQ
DRE
EXP
EWBC
EV
ENDP
EGN
ENR
EQIX
EQY
ESS
ESL
RE
XLS
EXR
FCN
FDS
FICO
FCS
FRT
FII
FNF
FAF
FHN
FNFG
FMER
FLO
FL
FBHS
FULT
GMT
BGC
GWR
IT
GNTX
GPN
GGG
GVA
GXP
GMCR
GHL
GEF
GES
HBHC
HCC
HNI
HFC
HBI
THG
HTSI
HSC
HE
HMA
HNT
HLX
HSIC
HIW
HRC
HMSY
HOLX
HME
HPT
HSNI
HUBB
JBHT
HII
IDA
IEX
IDXX
INFA
IM
INGR
IDTI
IDCC
ISIL
IBOC
IRF
ISCA
IPI
ITRI
ITT
JKHY
JNS
JAH
JBLU
JWA
JLL
KBH
KBR
KMPR
KMT
KRC
KEX
LAMR
LANC
LSTR
LDOS
LPS
LII
LXK
LRY
LTM
LPNT
LECO
LKQ
LPX
MDC
MDU
MCRS
MSM
CLI
MNK
MAN
MANT
MLM
MASI
MATX
MATW
MD
MENT
MCY
MDP
MTD
MLHR
MSA
MTX
MHK
MWW
MSCI
MUSA
NCR
NFG
NATI
NNN
NSR
NYCB
NYT
NEU
NDSN
NVE
NVR
OGE
OIS
OII
ODP
ORI
OLN
OHI
OCR
OSK
OMI
PKG
PNRA
PTC
PTEN
PLT
PNM
PII
PLCM
POST
PCH
PRI
PB
PL
STR
RFMD
RPM
RAX
RJF
RYN
O
RBC
REG
RGS
RGA
RS
RCII
RMD
RVBD
RKT
ROL
ROSE
ROVI
RGLD
SEIC
SLG
SM
SWI
SPW
STE
SUNE
SIVB
SKS
SLXP
SCHL
SAIC
SGMS
SMG
SMTC
SNH
SXT
SCI
SBNY
SIG
SLGN
SLAB
SWKS
SLH
SON
BID
SFG
STLD
SPN
SVU
SNPS
SNV
TCB
TCO
TIBX
TECD
TECH
TFX
TDS
TPX
TEX
BCO
HSH
THO
THOR
TDW
TKR
TOL
TR
TW
TSCO
TRMB
TRN
TGI
TRMK
TUP
TWTC
UDR
UGI
URS
UTIW
VCI
UA
UNT
UNFI
URI
UTHR
UVV
UHS
WOOF
VLY
VMI
VAL
VCLK
VVC
PAY
VSH
WGL
WWAV
WMS
WWD
WRB
WAB
WDR
WAFD
WCN
WSO
WBS
WRI
WCG
WEN
WERN
WABC
WR
WEX
WSM
INT
WOR
WRB
ZBRA
